annsoin;semsoin;_TYPE_;_FREQ_;nb_lignes
2014;17;0;140;78623
2014;18;0;142;77204
2014;19;0;139;82946
2014;20;0;139;77226
2014;21;0;137;67566
2014;22;0;138;84463
2014;23;0;141;69965
2014;24;0;139;77613
2014;25;0;140;72554
2014;26;0;137;70630
2014;27;0;145;72907
2014;28;0;139;62867
2014;29;0;139;71846
2014;30;0;140;64265
2014;31;0;136;57700
2014;32;0;137;48004
2014;33;0;139;60061
2014;34;0;138;62693
2014;35;0;140;66965
2014;36;0;142;69785
2014;37;0;141;74969
2014;38;0;137;79851
2014;39;0;139;81662
2014;40;0;142;88722
2014;41;0;140;90588
2014;42;0;142;87551
2014;43;0;142;80732
2014;44;0;144;95339
2014;45;0;140;77911
2014;46;0;141;88918
2014;47;0;143;89432
2014;48;0;143;97004
2014;49;0;143;109463
2014;50;0;146;123934
2014;51;0;146;89287
2014;52;0;138;66522
2015;0;0;138;45191
2015;1;0;148;179828
2015;2;0;148;152761
2015;3;0;143;141434
2015;4;0;146;145323
2015;5;0;145;152572
2015;6;0;148;170186
2015;7;0;146;166289
2015;8;0;146;143722
2015;9;0;143;122473
2015;10;0;143;111743
2015;11;0;141;101942
2015;12;0;141;100406
2015;13;0;141;102093
2015;14;0;142;89259
2015;15;0;144;101520
2015;16;0;139;91237
2015;17;0;138;73862
2015;18;0;140;74729
2015;19;0;139;74380
2015;20;0;139;82722
2015;21;0;140;70184
2015;22;0;140;80384
2015;23;0;139;84539
2015;24;0;147;82047
2015;25;0;141;77248
2015;26;0;143;68113
2015;27;0;132;68292
2015;28;0;132;55911
2015;29;0;135;62817
2015;30;0;132;62212
2015;31;0;131;55787
2015;32;0;132;50996
2015;33;0;131;57089
2015;34;0;129;60141
2015;35;0;132;64491
2015;36;0;133;68763
2015;37;0;136;77171
2015;38;0;132;87420
2015;39;0;136;97211
2015;40;0;134;100059
2015;41;0;135;103241
2015;42;0;131;98338
2015;43;0;133;92759
2015;44;0;131;95870
2015;45;0;134;75605
2015;46;0;133;88265
2015;47;0;131;85165
2015;48;0;139;88896
2015;49;0;136;94835
2015;50;0;134;107135
2015;51;0;132;85782
2015;52;0;134;90566
2016;0;0;125;12243
2016;1;0;145;166960
2016;2;0;143;128386
2016;3;0;142;116082
2016;4;0;139;112844
2016;5;0;141;113770
2016;6;0;137;109312
2016;7;0;144;105661
2016;8;0;140;108560
2016;9;0;141;106383
2016;10;0;140;105852
2016;11;0;142;110640
2016;12;0;141;114832
2016;13;0;139;96103
2016;14;0;136;100745
2016;15;0;136;89838
2016;16;0;131;84522
2016;17;0;136;82458
2016;18;0;133;71094
2016;19;0;135;88034
2016;20;0;131;71641
2016;21;0;134;80002
2016;22;0;130;80086
2016;23;0;133;79908
2016;24;0;134;82074
2016;25;0;132;78926
2016;26;0;135;81089
2016;27;0;132;76884
2016;28;0;129;64903
2016;29;0;127;72302
2016;30;0;136;67065
2016;31;0;129;60853
2016;32;0;132;58275
2016;33;0;130;49973
2016;34;0;133;58289
2016;35;0;132;61787
2016;36;0;131;63175
2016;37;0;129;65624
2016;38;0;136;75053
2016;39;0;131;82970
2016;40;0;133;91899
2016;41;0;132;100364
2016;42;0;135;101061
2016;43;0;136;94754
2016;44;0;132;86740
2016;45;0;133;87175
2016;46;0;136;98816
2016;47;0;132;92981
2016;48;0;132;95006
2016;49;0;130;108068
2016;50;0;134;128761
2016;51;0;132;145054
2016;52;0;135;150389
2017;0;0;103;1263
2017;1;0;142;203071
2017;2;0;141;177984
2017;3;0;141;144699
2017;4;0;144;141029
2017;5;0;138;140568
2017;6;0;137;125056
2017;7;0;137;108661
2017;8;0;139;102099
2017;9;0;136;95751
2017;10;0;134;89363
2017;11;0;134;85301
2017;12;0;140;85940
2017;13;0;133;85076
2017;14;0;136;84412
2017;15;0;136;82936
2017;16;0;131;74787
2017;17;0;135;91111
2017;18;0;135;78691
2017;19;0;132;75947
2017;20;0;134;80625
2017;21;0;132;67198
2017;22;0;136;80517
2017;23;0;130;67997
2017;24;0;132;71554
2017;25;0;134;66428
2017;26;0;136;69656
2017;27;0;129;68244
2017;28;0;132;59224
2017;29;0;133;68888
2017;30;0;132;66635
2017;31;0;130;61276
2017;32;0;134;60139
2017;33;0;135;50714
2017;34;0;133;62497
2017;35;0;131;64201
2017;36;0;132;70287
2017;37;0;138;73768
2017;38;0;134;88747
2017;39;0;136;104921
2017;40;0;139;108156
2017;41;0;139;105053
2017;42;0;137;99881
2017;43;0;135;90450
2017;44;0;137;78003
2017;45;0;133;91867
2017;46;0;134;91410
2017;47;0;132;90171
2017;48;0;136;92964
2017;49;0;133;100979
2017;50;0;132;111459
2017;51;0;140;127020
2017;52;0;135;109982
